start_time,close,datetime,high,low,open,volume
1717488000000,68841.0,2024-06-04 08:00:00,69189.9,68824.3,69011.2,149.92737949
1717491600000,68715.2,2024-06-04 09:00:00,68891.1,68560.1,68840.8,351.44384481
1717495200000,68893.8,2024-06-04 10:00:00,68958.7,68698.9,68715.3,195.59076765
1717498800000,68957.3,2024-06-04 11:00:00,69034.8,68836.0,68896.0,120.58101108
1717502400000,68944.6,2024-06-04 12:00:00,69160.0,68843.8,68957.5,108.50413154
1717506000000,69536.0,2024-06-04 13:00:00,69832.0,68943.5,68951.6,606.96872961
1717509600000,69663.9,2024-06-04 14:00:00,70099.0,69324.3,69539.2,1079.28332326
1717513200000,70447.9,2024-06-04 15:00:00,70500.0,69462.7,69664.0,743.31672733
1717516800000,70803.3,2024-06-04 16:00:00,71000.0,70393.2,70448.0,864.07263461
1717520400000,70565.6,2024-06-04 17:00:00,70838.8,70338.9,70807.0,278.81929647
1717524000000,70707.5,2024-06-04 18:00:00,71071.9,70565.6,70565.6,476.73829993
1717527600000,70435.9,2024-06-04 19:00:00,70736.0,70087.6,70707.5,654.00086222
1717531200000,70401.2,2024-06-04 20:00:00,70549.1,70167.6,70437.5,297.38110375
1717534800000,70619.0,2024-06-04 21:00:00,70631.0,70341.7,70401.2,137.67228849
1717538400000,70566.2,2024-06-04 22:00:00,70742.8,70500.3,70619.0,174.97577349
1717542000000,70532.3,2024-06-04 23:00:00,70615.2,70404.2,70566.3,255.14704319
1717545600000,70772.6,2024-06-05 00:00:00,70893.3,70424.1,70532.2,376.57763836
1717549200000,70967.2,2024-06-05 01:00:00,71306.1,70644.0,70775.0,530.8848519
1717552800000,70839.7,2024-06-05 02:00:00,71146.9,70648.0,70963.6,369.29671503
1717556400000,70956.0,2024-06-05 03:00:00,70996.7,70767.9,70839.8,239.11256179
1717560000000,71179.2,2024-06-05 04:00:00,71255.0,70827.1,70955.9,482.73239914
1717563600000,70991.9,2024-06-05 05:00:00,71207.7,70888.5,71179.3,280.8384203
1717567200000,71115.0,2024-06-05 06:00:00,71148.2,70822.7,70991.4,310.28018958
1717570800000,71200.7,2024-06-05 07:00:00,71371.3,71030.5,71114.7,375.43010899
1717574400000,70937.0,2024-06-05 08:00:00,71243.1,70884.0,71200.8,175.80120031
1717578000000,70900.0,2024-06-05 09:00:00,71031.3,70822.2,70936.9,174.71491508
1717581600000,70800.5,2024-06-05 10:00:00,70927.8,70720.0,70900.0,122.0268145
1717585200000,70967.2,2024-06-05 11:00:00,71097.9,70700.0,70800.5,127.20934467
1717588800000,70938.6,2024-06-05 12:00:00,71120.1,70648.1,70970.6,288.12422203
1717592400000,70722.4,2024-06-05 13:00:00,71175.0,70600.0,70938.6,394.44864772
1717596000000,70863.9,2024-06-05 14:00:00,71063.9,70376.0,70724.2,909.51448683
